Crime,Year,Quarter,Number,Population,Rate,Date,COVID
All Crime,2014,Q1,10932,386583,28.27853268250285,2014-01-01,Pre
All Crime,2014,Q2,10415,386583,26.941174340309843,2014-04-01,Pre
All Crime,2014,Q3,11167,386583,28.886422838045128,2014-07-01,Pre
All Crime,2014,Q4,10437,386583,26.998083205935075,2014-10-01,Pre
All Crime,2015,Q1,9998,393297,25.420992278100265,2015-01-01,Pre
All Crime,2015,Q2,10961,393297,27.869523540733844,2015-04-01,Pre
All Crime,2015,Q3,10958,393297,27.861895717485766,2015-07-01,Pre
All Crime,2015,Q4,11150,393297,28.350076405362866,2015-10-01,Pre
All Crime,2016,Q1,9990,400106,24.968383378404724,2016-01-01,Pre
All Crime,2016,Q2,10814,400106,27.027837623029896,2016-04-01,Pre
All Crime,2016,Q3,11564,400106,28.902340879666887,2016-07-01,Pre
All Crime,2016,Q4,10617,400106,26.53546810095325,2016-10-01,Pre
All Crime,2017,Q1,11578,410124,28.230486389482202,2017-01-01,Pre
All Crime,2017,Q2,11825,410124,28.83274326788971,2017-04-01,Pre
All Crime,2017,Q3,11816,410124,28.81079868527567,2017-07-01,Pre
All Crime,2017,Q4,11393,410124,27.779403302415854,2017-10-01,Pre
All Crime,2018,Q1,10835,417279,25.96584060065328,2018-01-01,Pre
All Crime,2018,Q2,10275,417279,24.623812844643513,2018-04-01,Pre
All Crime,2018,Q3,10877,417279,26.066492682354014,2018-07-01,Pre
All Crime,2018,Q4,10313,417279,24.71487901380132,2018-10-01,Pre
All Crime,2019,Q1,10799,423768,25.483283305959866,2019-01-01,Pre
All Crime,2019,Q2,10253,423768,24.194842460969213,2019-04-01,Pre
All Crime,2019,Q3,9457,423768,22.316456174133016,2019-07-01,Pre
All Crime,2019,Q4,10685,423768,25.2142681844783,2019-10-01,Pre
All Crime,2020,Q1,10751,429638,25.023391785642797,2020-01-01,Pre
All Crime,2020,Q2,9467,429638,22.034829321428738,2020-04-01,During
All Crime,2020,Q3,8924,429638,20.77097463445971,2020-07-01,During
All Crime,2020,Q4,9620,429638,22.390943073005648,2020-10-01,During
All Crime,2021,Q1,8686,433318,20.04532468071947,2021-01-01,During
All Crime,2021,Q2,9627,433318,22.216939984030205,2021-04-01,During
All Crime,2021,Q3,7525,433318,17.3659991045837,2021-07-01,During
All Crime,2021,Q4,7924,433318,18.28680091757093,2021-10-01,Post
All Crime,2022,Q1,7361,439576,16.74568220285002,2022-01-01,Post
All Crime,2022,Q2,8653,439576,19.6848781553133,2022-04-01,Post
All Crime,2022,Q3,7799,439576,17.742096929768685,2022-07-01,Post
All Crime,2022,Q4,7624,439576,17.34398602289479,2022-10-01,Post
All Crime,2023,Q1,7941,446157,17.798667285282985,2023-01-01,Post
All Crime,2023,Q2,8236,446157,18.459869507818997,2023-04-01,Post
All Crime,2023,Q3,7992,446157,17.912976822060397,2023-07-01,Post
All Crime,2023,Q4,7384,446157,16.550227834596342,2023-10-01,Post
All Crime,2024,Q1,7264,450167,16.136233886535443,2024-01-01,Post
All Crime,2024,Q2,6386,450167,14.185846585822596,2024-04-01,Post
All Crime,2024,Q3,6894,450167,15.314316686918412,2024-07-01,Post
All Crime,2024,Q4,8002,450167,17.775625490095898,2024-10-01,Post
All Crime,2025,Q1,8524,453717,18.787041261403033,2025-01-01,Post
All Crime,2025,Q2,7821,453717,17.23761728125682,2025-04-01,Post
Assault,2014,Q1,327,386583,0.8458726845205298,2014-01-01,Pre
Assault,2014,Q2,293,386583,0.7579226194633494,2014-04-01,Pre
Assault,2014,Q3,295,386583,0.763096152702007,2014-07-01,Pre
Assault,2014,Q4,286,386583,0.7398152531280475,2014-10-01,Pre
Assault,2015,Q1,318,393297,0.8085492642964477,2015-01-01,Pre
Assault,2015,Q2,341,393297,0.8670292425317253,2015-04-01,Pre
Assault,2015,Q3,308,393297,0.7831231868028486,2015-07-01,Pre
Assault,2015,Q4,384,393297,0.976361375754201,2015-10-01,Pre
Assault,2016,Q1,345,400106,0.862271498053016,2016-01-01,Pre
Assault,2016,Q2,343,400106,0.857272822701984,2016-04-01,Pre
Assault,2016,Q3,387,400106,0.9672436804246874,2016-07-01,Pre
Assault,2016,Q4,436,400106,1.0897112265249709,2016-10-01,Pre
