Region,Crime,Year,Quarter,Number
Belconnen,Assault,2014,Q1,63
Belconnen,Assault,2014,Q2,59
Belconnen,Assault,2014,Q3,55
Belconnen,Assault,2014,Q4,37
Belconnen,Assault,2015,Q1,68
Belconnen,Assault,2015,Q2,38
Belconnen,Assault,2015,Q3,43
Belconnen,Assault,2015,Q4,56
Belconnen,Assault,2016,Q1,52
Belconnen,Assault,2016,Q2,57
Belconnen,Assault,2016,Q3,64
Belconnen,Assault,2016,Q4,70
Belconnen,Assault,2017,Q1,79
Belconnen,Assault,2017,Q2,61
Belconnen,Assault,2017,Q3,78
Belconnen,Assault,2017,Q4,82
Belconnen,Assault,2018,Q1,74
Belconnen,Assault,2018,Q2,71
Belconnen,Assault,2018,Q3,84
Belconnen,Assault,2018,Q4,103
Belconnen,Assault,2019,Q1,90
Belconnen,Assault,2019,Q2,62
Belconnen,Assault,2019,Q3,88
Belconnen,Assault,2019,Q4,63
Belconnen,Assault,2020,Q1,79
Belconnen,Assault,2020,Q2,98
Belconnen,Assault,2020,Q3,76
Belconnen,Assault,2020,Q4,91
Belconnen,Assault,2021,Q1,85
Belconnen,Assault,2021,Q2,96
Belconnen,Assault,2021,Q3,63
Belconnen,Assault,2021,Q4,82
Belconnen,Assault,2022,Q1,76
Belconnen,Assault,2022,Q2,78
Belconnen,Assault,2022,Q3,122
Belconnen,Assault,2022,Q4,100
Belconnen,Assault,2023,Q1,95
Belconnen,Assault,2023,Q2,87
Belconnen,Assault,2023,Q3,95
Belconnen,Assault,2023,Q4,87
Belconnen,Assault,2024,Q1,87
Belconnen,Assault,2024,Q2,87
Belconnen,Assault,2024,Q3,107
Belconnen,Assault,2024,Q4,88
Belconnen,Assault,2025,Q1,79
Belconnen,Assault,2025,Q2,83
Belconnen,Burglary,2014,Q1,121
Belconnen,Burglary,2014,Q2,102
Belconnen,Burglary,2014,Q3,124
Belconnen,Burglary,2014,Q4,174
Belconnen,Burglary,2015,Q1,113
Belconnen,Burglary,2015,Q2,136
Belconnen,Burglary,2015,Q3,120
Belconnen,Burglary,2015,Q4,143
Belconnen,Burglary,2016,Q1,101
Belconnen,Burglary,2016,Q2,95
Belconnen,Burglary,2016,Q3,104
Belconnen,Burglary,2016,Q4,84
Belconnen,Burglary,2017,Q1,180
Belconnen,Burglary,2017,Q2,135
Belconnen,Burglary,2017,Q3,126
Belconnen,Burglary,2017,Q4,141
Belconnen,Burglary,2018,Q1,131
Belconnen,Burglary,2018,Q2,113
Belconnen,Burglary,2018,Q3,150
Belconnen,Burglary,2018,Q4,137
Belconnen,Burglary,2019,Q1,189
Belconnen,Burglary,2019,Q2,163
Belconnen,Burglary,2019,Q3,126
Belconnen,Burglary,2019,Q4,129
Belconnen,Burglary,2020,Q1,112
Belconnen,Burglary,2020,Q2,85
Belconnen,Burglary,2020,Q3,104
Belconnen,Burglary,2020,Q4,104
Belconnen,Burglary,2021,Q1,120
Belconnen,Burglary,2021,Q2,119
Belconnen,Burglary,2021,Q3,88
Belconnen,Burglary,2021,Q4,96
Belconnen,Burglary,2022,Q1,109
Belconnen,Burglary,2022,Q2,124
Belconnen,Burglary,2022,Q3,87
Belconnen,Burglary,2022,Q4,109
Belconnen,Burglary,2023,Q1,128
Belconnen,Burglary,2023,Q2,108
Belconnen,Burglary,2023,Q3,103
Belconnen,Burglary,2023,Q4,86
Belconnen,Burglary,2024,Q1,96
Belconnen,Burglary,2024,Q2,69
Belconnen,Burglary,2024,Q3,60
Belconnen,Burglary,2024,Q4,88
Belconnen,Burglary,2025,Q1,100
Belconnen,Burglary,2025,Q2,98
Belconnen,CINs,2014,Q1,7
Belconnen,CINs,2014,Q2,5
Belconnen,CINs,2014,Q3,3
Belconnen,CINs,2014,Q4,4
Belconnen,CINs,2015,Q1,5
Belconnen,CINs,2015,Q2,6
Belconnen,CINs,2015,Q3,2
Belconnen,CINs,2015,Q4,3
Belconnen,CINs,2016,Q1,7
Belconnen,CINs,2016,Q2,4
Belconnen,CINs,2016,Q3,4
Belconnen,CINs,2016,Q4,6
Belconnen,CINs,2017,Q1,2
Belconnen,CINs,2017,Q2,0
Belconnen,CINs,2017,Q3,0
Belconnen,CINs,2017,Q4,1
Belconnen,CINs,2018,Q1,1
Belconnen,CINs,2018,Q2,1
Belconnen,CINs,2018,Q3,2
Belconnen,CINs,2018,Q4,0
Belconnen,CINs,2019,Q1,0
Belconnen,CINs,2019,Q2,0
Belconnen,CINs,2019,Q3,0
Belconnen,CINs,2019,Q4,2
Belconnen,CINs,2020,Q1,0
Belconnen,CINs,2020,Q2,0
Belconnen,CINs,2020,Q3,0
Belconnen,CINs,2020,Q4,0
Belconnen,CINs,2021,Q1,0
Belconnen,CINs,2021,Q2,0
Belconnen,CINs,2021,Q3,17
Belconnen,CINs,2021,Q4,4
Belconnen,CINs,2022,Q1,1
Belconnen,CINs,2022,Q2,0
Belconnen,CINs,2022,Q3,0
Belconnen,CINs,2022,Q4,2
Belconnen,CINs,2023,Q1,0
Belconnen,CINs,2023,Q2,0
Belconnen,CINs,2023,Q3,0
Belconnen,CINs,2023,Q4,0
Belconnen,CINs,2024,Q1,0
Belconnen,CINs,2024,Q2,0
Belconnen,CINs,2024,Q3,0
Belconnen,CINs,2024,Q4,0
Belconnen,CINs,2025,Q1,1
Belconnen,CINs,2025,Q2,1
Belconnen,Family Violence,2014,Q1,40
Belconnen,Family Violence,2014,Q2,32
Belconnen,Family Violence,2014,Q3,49
Belconnen,Family Violence,2014,Q4,54
Belconnen,Family Violence,2015,Q1,56
Belconnen,Family Violence,2015,Q2,48
Belconnen,Family Violence,2015,Q3,42
Belconnen,Family Violence,2015,Q4,55
Belconnen,Family Violence,2016,Q1,96
Belconnen,Family Violence,2016,Q2,92
Belconnen,Family Violence,2016,Q3,59
Belconnen,Family Violence,2016,Q4,89
Belconnen,Family Violence,2017,Q1,99
Belconnen,Family Violence,2017,Q2,59
Belconnen,Family Violence,2017,Q3,81
Belconnen,Family Violence,2017,Q4,76
Belconnen,Family Violence,2018,Q1,68
Belconnen,Family Violence,2018,Q2,76
Belconnen,Family Violence,2018,Q3,56
Belconnen,Family Violence,2018,Q4,68
Belconnen,Family Violence,2019,Q1,80
Belconnen,Family Violence,2019,Q2,54
Belconnen,Family Violence,2019,Q3,82
Belconnen,Family Violence,2019,Q4,90
Belconnen,Family Violence,2020,Q1,74
Belconnen,Family Violence,2020,Q2,46
Belconnen,Family Violence,2020,Q3,62
Belconnen,Family Violence,2020,Q4,41
Belconnen,Family Violence,2021,Q1,72
Belconnen,Family Violence,2021,Q2,102
Belconnen,Family Violence,2021,Q3,61
Belconnen,Family Violence,2021,Q4,76
Belconnen,Family Violence,2022,Q1,66
Belconnen,Family Violence,2022,Q2,78
Belconnen,Family Violence,2022,Q3,62
Belconnen,Family Violence,2022,Q4,80
Belconnen,Family Violence,2023,Q1,72
Belconnen,Family Violence,2023,Q2,107
Belconnen,Family Violence,2023,Q3,96
Belconnen,Family Violence,2023,Q4,107
Belconnen,Family Violence,2024,Q1,81
Belconnen,Family Violence,2024,Q2,68
Belconnen,Family Violence,2024,Q3,82
Belconnen,Family Violence,2024,Q4,84
Belconnen,Family Violence,2025,Q1,73
Belconnen,Family Violence,2025,Q2,65
Belconnen,Homicide,2014,Q1,1
Belconnen,Homicide,2014,Q2,0
Belconnen,Homicide,2014,Q3,0
Belconnen,Homicide,2014,Q4,1
Belconnen,Homicide,2015,Q1,0
Belconnen,Homicide,2015,Q2,2
Belconnen,Homicide,2015,Q3,1
Belconnen,Homicide,2015,Q4,1
Belconnen,Homicide,2016,Q1,0
Belconnen,Homicide,2016,Q2,0
Belconnen,Homicide,2016,Q3,0
Belconnen,Homicide,2016,Q4,0
Belconnen,Homicide,2017,Q1,0
Belconnen,Homicide,2017,Q2,0
Belconnen,Homicide,2017,Q3,0
Belconnen,Homicide,2017,Q4,0
Belconnen,Homicide,2018,Q1,0
Belconnen,Homicide,2018,Q2,1
Belconnen,Homicide,2018,Q3,0
Belconnen,Homicide,2018,Q4,0
Belconnen,Homicide,2019,Q1,0
Belconnen,Homicide,2019,Q2,0
Belconnen,Homicide,2019,Q3,0
Belconnen,Homicide,2019,Q4,0
Belconnen,Homicide,2020,Q1,1
Belconnen,Homicide,2020,Q2,1
Belconnen,Homicide,2020,Q3,0
Belconnen,Homicide,2020,Q4,0
Belconnen,Homicide,2021,Q1,4
Belconnen,Homicide,2021,Q2,1
Belconnen,Homicide,2021,Q3,2
Belconnen,Homicide,2021,Q4,1
Belconnen,Homicide,2022,Q1,0
Belconnen,Homicide,2022,Q2,2
Belconnen,Homicide,2022,Q3,1
Belconnen,Homicide,2022,Q4,0
Belconnen,Homicide,2023,Q1,0
Belconnen,Homicide,2023,Q2,0
Belconnen,Homicide,2023,Q3,0
Belconnen,Homicide,2023,Q4,1
Belconnen,Homicide,2024,Q1,3
Belconnen,Homicide,2024,Q2,2
Belconnen,Homicide,2024,Q3,0
Belconnen,Homicide,2024,Q4,0
Belconnen,Homicide,2025,Q1,0
Belconnen,Homicide,2025,Q2,0
Belconnen,Other,2014,Q1,1281
Belconnen,Other,2014,Q2,1090
Belconnen,Other,2014,Q3,1112
Belconnen,Other,2014,Q4,1128
Belconnen,Other,2015,Q1,1106
Belconnen,Other,2015,Q2,1243
Belconnen,Other,2015,Q3,1220
Belconnen,Other,2015,Q4,1083
Belconnen,Other,2016,Q1,1114
Belconnen,Other,2016,Q2,1417
Belconnen,Other,2016,Q3,1277
Belconnen,Other,2016,Q4,1439
Belconnen,Other,2017,Q1,1411
Belconnen,Other,2017,Q2,1468
Belconnen,Other,2017,Q3,1473
Belconnen,Other,2017,Q4,1424
Belconnen,Other,2018,Q1,1467
Belconnen,Other,2018,Q2,1588
Belconnen,Other,2018,Q3,1663
Belconnen,Other,2018,Q4,1582
Belconnen,Other,2019,Q1,1996
Belconnen,Other,2019,Q2,1791
Belconnen,Other,2019,Q3,1498
Belconnen,Other,2019,Q4,1634
Belconnen,Other,2020,Q1,1682
Belconnen,Other,2020,Q2,2197
Belconnen,Other,2020,Q3,1551
Belconnen,Other,2020,Q4,1406
Belconnen,Other,2021,Q1,1259
Belconnen,Other,2021,Q2,1294
Belconnen,Other,2021,Q3,1132
Belconnen,Other,2021,Q4,1083
Belconnen,Other,2022,Q1,913
Belconnen,Other,2022,Q2,2344
Belconnen,Other,2022,Q3,1098
Belconnen,Other,2022,Q4,1057
Belconnen,Other,2023,Q1,841
Belconnen,Other,2023,Q2,996
Belconnen,Other,2023,Q3,1036
Belconnen,Other,2023,Q4,1091
Belconnen,Other,2024,Q1,867
Belconnen,Other,2024,Q2,847
Belconnen,Other,2024,Q3,914
Belconnen,Other,2024,Q4,918
Belconnen,Other,2025,Q1,826
Belconnen,Other,2025,Q2,893
Belconnen,Property Damage,2014,Q1,216
Belconnen,Property Damage,2014,Q2,186
Belconnen,Property Damage,2014,Q3,175
Belconnen,Property Damage,2014,Q4,196
Belconnen,Property Damage,2015,Q1,288
Belconnen,Property Damage,2015,Q2,291
Belconnen,Property Damage,2015,Q3,202
Belconnen,Property Damage,2015,Q4,324
Belconnen,Property Damage,2016,Q1,217
Belconnen,Property Damage,2016,Q2,271
Belconnen,Property Damage,2016,Q3,231
Belconnen,Property Damage,2016,Q4,288
Belconnen,Property Damage,2017,Q1,347
Belconnen,Property Damage,2017,Q2,314
Belconnen,Property Damage,2017,Q3,302
Belconnen,Property Damage,2017,Q4,304
Belconnen,Property Damage,2018,Q1,238
Belconnen,Property Damage,2018,Q2,280
Belconnen,Property Damage,2018,Q3,289
Belconnen,Property Damage,2018,Q4,292
Belconnen,Property Damage,2019,Q1,300
Belconnen,Property Damage,2019,Q2,411
Belconnen,Property Damage,2019,Q3,234
Belconnen,Property Damage,2019,Q4,247
Belconnen,Property Damage,2020,Q1,195
Belconnen,Property Damage,2020,Q2,204
Belconnen,Property Damage,2020,Q3,181
Belconnen,Property Damage,2020,Q4,252
Belconnen,Property Damage,2021,Q1,240
Belconnen,Property Damage,2021,Q2,244
Belconnen,Property Damage,2021,Q3,160
Belconnen,Property Damage,2021,Q4,210
Belconnen,Property Damage,2022,Q1,168
Belconnen,Property Damage,2022,Q2,224
Belconnen,Property Damage,2022,Q3,174
Belconnen,Property Damage,2022,Q4,204
Belconnen,Property Damage,2023,Q1,185
Belconnen,Property Damage,2023,Q2,223
Belconnen,Property Damage,2023,Q3,200
Belconnen,Property Damage,2023,Q4,218
Belconnen,Property Damage,2024,Q1,194
Belconnen,Property Damage,2024,Q2,166
Belconnen,Property Damage,2024,Q3,149
Belconnen,Property Damage,2024,Q4,179
Belconnen,Property Damage,2025,Q1,198
Belconnen,Property Damage,2025,Q2,162
Belconnen,Robbery,2014,Q1,7
Belconnen,Robbery,2014,Q2,6
Belconnen,Robbery,2014,Q3,8
Belconnen,Robbery,2014,Q4,10
Belconnen,Robbery,2015,Q1,9
Belconnen,Robbery,2015,Q2,8
Belconnen,Robbery,2015,Q3,9
Belconnen,Robbery,2015,Q4,11
Belconnen,Robbery,2016,Q1,6
Belconnen,Robbery,2016,Q2,9
Belconnen,Robbery,2016,Q3,12
Belconnen,Robbery,2016,Q4,15
Belconnen,Robbery,2017,Q1,16
Belconnen,Robbery,2017,Q2,16
Belconnen,Robbery,2017,Q3,12
Belconnen,Robbery,2017,Q4,13
Belconnen,Robbery,2018,Q1,13
Belconnen,Robbery,2018,Q2,8
Belconnen,Robbery,2018,Q3,8
Belconnen,Robbery,2018,Q4,20
Belconnen,Robbery,2019,Q1,10
Belconnen,Robbery,2019,Q2,10
Belconnen,Robbery,2019,Q3,16
Belconnen,Robbery,2019,Q4,12
Belconnen,Robbery,2020,Q1,18
Belconnen,Robbery,2020,Q2,9
Belconnen,Robbery,2020,Q3,6
Belconnen,Robbery,2020,Q4,10
Belconnen,Robbery,2021,Q1,10
Belconnen,Robbery,2021,Q2,16
Belconnen,Robbery,2021,Q3,10
Belconnen,Robbery,2021,Q4,7
Belconnen,Robbery,2022,Q1,5
Belconnen,Robbery,2022,Q2,10
Belconnen,Robbery,2022,Q3,22
Belconnen,Robbery,2022,Q4,11
Belconnen,Robbery,2023,Q1,14
Belconnen,Robbery,2023,Q2,9
Belconnen,Robbery,2023,Q3,11
Belconnen,Robbery,2023,Q4,16
Belconnen,Robbery,2024,Q1,7
Belconnen,Robbery,2024,Q2,4
Belconnen,Robbery,2024,Q3,7
Belconnen,Robbery,2024,Q4,10
Belconnen,Robbery,2025,Q1,6
Belconnen,Robbery,2025,Q2,4
Belconnen,Sexual Assault,2014,Q1,22
Belconnen,Sexual Assault,2014,Q2,32
Belconnen,Sexual Assault,2014,Q3,23
Belconnen,Sexual Assault,2014,Q4,24
Belconnen,Sexual Assault,2015,Q1,17
Belconnen,Sexual Assault,2015,Q2,37
Belconnen,Sexual Assault,2015,Q3,19
Belconnen,Sexual Assault,2015,Q4,30
Belconnen,Sexual Assault,2016,Q1,37
Belconnen,Sexual Assault,2016,Q2,18
Belconnen,Sexual Assault,2016,Q3,39
Belconnen,Sexual Assault,2016,Q4,35
Belconnen,Sexual Assault,2017,Q1,33
Belconnen,Sexual Assault,2017,Q2,48
Belconnen,Sexual Assault,2017,Q3,26
Belconnen,Sexual Assault,2017,Q4,36
Belconnen,Sexual Assault,2018,Q1,49
Belconnen,Sexual Assault,2018,Q2,30
Belconnen,Sexual Assault,2018,Q3,41
Belconnen,Sexual Assault,2018,Q4,31
Belconnen,Sexual Assault,2019,Q1,43
Belconnen,Sexual Assault,2019,Q2,21
Belconnen,Sexual Assault,2019,Q3,42
Belconnen,Sexual Assault,2019,Q4,18
Belconnen,Sexual Assault,2020,Q1,28
