Region,Crime,Year,Quarter,Number,Population,Rate,Date,COVID
Belconnen,All Crime,2014,Q1,2543,97058,26.20082837066496,2014-01-01,Pre
Belconnen,All Crime,2014,Q2,2408,97058,24.80990747800284,2014-04-01,Pre
Belconnen,All Crime,2014,Q3,2527,97058,26.03597848709019,2014-07-01,Pre
Belconnen,All Crime,2014,Q4,2412,97058,24.851119948896535,2014-10-01,Pre
Belconnen,All Crime,2015,Q1,2353,96906,24.28126225414319,2015-01-01,Pre
Belconnen,All Crime,2015,Q2,2333,96906,24.07487668462221,2015-04-01,Pre
Belconnen,All Crime,2015,Q3,2467,96906,25.45766000041277,2015-07-01,Pre
Belconnen,All Crime,2015,Q4,2463,96906,25.416382886508575,2015-10-01,Pre
Belconnen,All Crime,2016,Q1,2177,97106,22.41880007414578,2016-01-01,Pre
Belconnen,All Crime,2016,Q2,2570,97106,26.465923835808294,2016-04-01,Pre
Belconnen,All Crime,2016,Q3,2770,97106,28.525528803575476,2016-07-01,Pre
Belconnen,All Crime,2016,Q4,2657,97106,27.361851996787017,2016-10-01,Pre
Belconnen,All Crime,2017,Q1,2849,98630,28.885734563520227,2017-01-01,Pre
Belconnen,All Crime,2017,Q2,2895,98630,29.35212410017236,2017-04-01,Pre
Belconnen,All Crime,2017,Q3,2834,98630,28.73365101895975,2017-07-01,Pre
Belconnen,All Crime,2017,Q4,2728,98630,27.658927304065703,2017-10-01,Pre
Belconnen,All Crime,2018,Q1,2712,99762,27.18469958501233,2018-01-01,Pre
Belconnen,All Crime,2018,Q2,2491,99762,24.96942723682364,2018-04-01,Pre
Belconnen,All Crime,2018,Q3,2923,99762,29.299733365409676,2018-07-01,Pre
Belconnen,All Crime,2018,Q4,2936,99762,29.43004350353842,2018-10-01,Pre
Belconnen,All Crime,2019,Q1,2918,100966,28.90081809718123,2019-01-01,Pre
Belconnen,All Crime,2019,Q2,2893,100966,28.65320999148228,2019-04-01,Pre
Belconnen,All Crime,2019,Q3,2597,100966,25.721530020006735,2019-07-01,Pre
Belconnen,All Crime,2019,Q4,2710,100966,26.840718657765983,2019-10-01,Pre
Belconnen,All Crime,2020,Q1,2905,101562,28.6032177389181,2020-01-01,Pre
Belconnen,All Crime,2020,Q2,2905,101562,28.6032177389181,2020-04-01,During
Belconnen,All Crime,2020,Q3,2628,101562,25.87581969634312,2020-07-01,During
Belconnen,All Crime,2020,Q4,2780,101562,27.372442448947442,2020-10-01,During
Belconnen,All Crime,2021,Q1,2218,102131,21.717206333042856,2021-01-01,During
Belconnen,All Crime,2021,Q2,2578,102131,25.242091039938902,2021-04-01,During
Belconnen,All Crime,2021,Q3,1751,102131,17.144647560486042,2021-07-01,During
Belconnen,All Crime,2021,Q4,1935,102131,18.946255299566243,2021-10-01,Post
Belconnen,All Crime,2022,Q1,1620,102929,15.739004556538973,2022-01-01,Post
