Region,Suburb,Year,Quarter,Crime,Number,Population,Rate,Date,COVID
Belconnen,Aranda,2014,Q1,All Crime,137,2477,55.30884134033105,2014-01-01,Pre
Belconnen,Aranda,2014,Q2,All Crime,152,2477,61.364553895841745,2014-04-01,Pre
Belconnen,Aranda,2014,Q3,All Crime,167,2477,67.42026645135245,2014-07-01,Pre
Belconnen,Aranda,2014,Q4,All Crime,178,2477,71.86112232539362,2014-10-01,Pre
Belconnen,Aranda,2015,Q1,All Crime,127,2460,51.6260162601626,2015-01-01,Pre
Belconnen,Aranda,2015,Q2,All Crime,102,2460,41.46341463414634,2015-04-01,Pre
Belconnen,Aranda,2015,Q3,All Crime,120,2460,48.78048780487805,2015-07-01,Pre
Belconnen,Aranda,2015,Q4,All Crime,155,2460,63.00813008130081,2015-10-01,Pre
Belconnen,Aranda,2016,Q1,All Crime,116,2447,47.404985696771554,2016-01-01,Pre
Belconnen,Aranda,2016,Q2,All Crime,99,2447,40.457703310175724,2016-04-01,Pre
Belconnen,Aranda,2016,Q3,All Crime,154,2447,62.93420514916224,2016-07-01,Pre
Belconnen,Aranda,2016,Q4,All Crime,137,2447,55.98692276256641,2016-10-01,Pre
Belconnen,Aranda,2017,Q1,All Crime,127,2485,51.10663983903421,2017-01-01,Pre
Belconnen,Aranda,2017,Q2,All Crime,155,2485,62.374245472837025,2017-04-01,Pre
Belconnen,Aranda,2017,Q3,All Crime,149,2485,59.95975855130785,2017-07-01,Pre
Belconnen,Aranda,2017,Q4,All Crime,267,2485,107.4446680080483,2017-10-01,Pre
Belconnen,Aranda,2018,Q1,All Crime,146,2502,58.353317346123106,2018-01-01,Pre
Belconnen,Aranda,2018,Q2,All Crime,141,2502,56.35491606714629,2018-04-01,Pre
Belconnen,Aranda,2018,Q3,All Crime,181,2502,72.34212629896084,2018-07-01,Pre
Belconnen,Aranda,2018,Q4,All Crime,146,2502,58.353317346123106,2018-10-01,Pre
Belconnen,Aranda,2019,Q1,All Crime,98,2544,38.522012578616355,2019-01-01,Pre
Belconnen,Aranda,2019,Q2,All Crime,109,2544,42.84591194968554,2019-04-01,Pre
Belconnen,Aranda,2019,Q3,All Crime,119,2544,46.776729559748425,2019-07-01,Pre
Belconnen,Aranda,2019,Q4,All Crime,136,2544,53.459119496855344,2019-10-01,Pre
Belconnen,Aranda,2020,Q1,All Crime,123,2588,47.52704791344667,2020-01-01,Pre
Belconnen,Aranda,2020,Q2,All Crime,173,2588,66.84698608964452,2020-04-01,During
Belconnen,Aranda,2020,Q3,All Crime,161,2588,62.21020092735703,2020-07-01,During
Belconnen,Aranda,2020,Q4,All Crime,282,2588,108.96445131375579,2020-10-01,During
Belconnen,Aranda,2021,Q1,All Crime,156,2583,60.39488966318234,2021-01-01,During
Belconnen,Aranda,2021,Q2,All Crime,161,2583,62.33062330623306,2021-04-01,During
Belconnen,Aranda,2021,Q3,All Crime,132,2583,51.10336817653891,2021-07-01,During
Belconnen,Aranda,2021,Q4,All Crime,148,2583,57.297715834301194,2021-10-01,Post
Belconnen,Aranda,2022,Q1,All Crime,90,2578,34.910783553141975,2022-01-01,Post
Belconnen,Aranda,2022,Q2,All Crime,111,2578,43.0566330488751,2022-04-01,Post
Belconnen,Aranda,2022,Q3,All Crime,123,2578,47.71140418929403,2022-07-01,Post
Belconnen,Aranda,2022,Q4,All Crime,90,2578,34.910783553141975,2022-10-01,Post
Belconnen,Aranda,2023,Q1,All Crime,63,2601,24.22145328719723,2023-01-01,Post
Belconnen,Aranda,2023,Q2,All Crime,79,2601,30.37293348712034,2023-04-01,Post
Belconnen,Aranda,2023,Q3,All Crime,66,2601,25.374855824682815,2023-07-01,Post
Belconnen,Aranda,2023,Q4,All Crime,52,2601,19.992310649750095,2023-10-01,Post
Belconnen,Aranda,2024,Q1,All Crime,50,2602,19.215987701767872,2024-01-01,Post
Belconnen,Aranda,2024,Q2,All Crime,82,2602,31.51421983089931,2024-04-01,Post
Belconnen,Aranda,2024,Q3,All Crime,65,2602,24.980784012298233,2024-07-01,Post
Belconnen,Aranda,2024,Q4,All Crime,83,2602,31.898539584934667,2024-10-01,Post
Belconnen,Aranda,2025,Q1,All Crime,133,2643,50.32160423760878,2025-01-01,Post
Belconnen,Aranda,2025,Q2,All Crime,162,2643,61.29398410896709,2025-04-01,Post
Belconnen,Aranda,2014,Q1,Assault,0,2477,0.0,2014-01-01,Pre
Belconnen,Aranda,2014,Q2,Assault,1,2477,0.40371417036737994,2014-04-01,Pre
Belconnen,Aranda,2014,Q3,Assault,3,2477,1.2111425111021397,2014-07-01,Pre
Belconnen,Aranda,2014,Q4,Assault,1,2477,0.40371417036737994,2014-10-01,Pre
Belconnen,Aranda,2015,Q1,Assault,1,2460,0.4065040650406504,2015-01-01,Pre
Belconnen,Aranda,2015,Q2,Assault,0,2460,0.0,2015-04-01,Pre
Belconnen,Aranda,2015,Q3,Assault,1,2460,0.4065040650406504,2015-07-01,Pre
Belconnen,Aranda,2015,Q4,Assault,2,2460,0.8130081300813008,2015-10-01,Pre
Belconnen,Aranda,2016,Q1,Assault,2,2447,0.8173273395995095,2016-01-01,Pre
Belconnen,Aranda,2016,Q2,Assault,1,2447,0.40866366979975477,2016-04-01,Pre
Belconnen,Aranda,2016,Q3,Assault,0,2447,0.0,2016-07-01,Pre
Belconnen,Aranda,2016,Q4,Assault,3,2447,1.2259910093992643,2016-10-01,Pre
Belconnen,Aranda,2017,Q1,Assault,0,2485,0.0,2017-01-01,Pre
Belconnen,Aranda,2017,Q2,Assault,0,2485,0.0,2017-04-01,Pre
Belconnen,Aranda,2017,Q3,Assault,1,2485,0.4024144869215292,2017-07-01,Pre
Belconnen,Aranda,2017,Q4,Assault,2,2485,0.8048289738430584,2017-10-01,Pre
Belconnen,Aranda,2018,Q1,Assault,0,2502,0.0,2018-01-01,Pre
Belconnen,Aranda,2018,Q2,Assault,0,2502,0.0,2018-04-01,Pre
Belconnen,Aranda,2018,Q3,Assault,1,2502,0.39968025579536376,2018-07-01,Pre
Belconnen,Aranda,2018,Q4,Assault,2,2502,0.7993605115907275,2018-10-01,Pre
Belconnen,Aranda,2019,Q1,Assault,1,2544,0.3930817610062893,2019-01-01,Pre
Belconnen,Aranda,2019,Q2,Assault,2,2544,0.7861635220125786,2019-04-01,Pre
Belconnen,Aranda,2019,Q3,Assault,1,2544,0.3930817610062893,2019-07-01,Pre
Belconnen,Aranda,2019,Q4,Assault,1,2544,0.3930817610062893,2019-10-01,Pre
Belconnen,Aranda,2020,Q1,Assault,0,2588,0.0,2020-01-01,Pre
