Region,Crime,Year,Quarter,Number,Population,Rate,Covid
Belconnen,Assault,2014,Q1,63,97058,0.6490964165756558,
Belconnen,Assault,2014,Q2,59,97058,0.6078839456819634,
Belconnen,Assault,2014,Q3,55,97058,0.5666714747882708,
Belconnen,Assault,2014,Q4,37,97058,0.3812153557666549,
Belconnen,Assault,2015,Q1,68,96906,0.7017109363713289,
Belconnen,Assault,2015,Q2,38,96906,0.3921325820898602,
Belconnen,Assault,2015,Q3,43,96906,0.443728974470105,
Belconnen,Assault,2015,Q4,56,96906,0.5778795946587414,
Belconnen,Assault,2016,Q1,52,97106,0.5354972916194675,
Belconnen,Assault,2016,Q2,57,97106,0.586987415813647,
Belconnen,Assault,2016,Q3,64,97106,0.6590735896854983,
Belconnen,Assault,2016,Q4,70,97106,0.7208617387185138,
Belconnen,Assault,2017,Q1,78,98630,0.7908344317144885,
Belconnen,Assault,2017,Q2,61,98630,0.6184730812126128,
Belconnen,Assault,2017,Q3,78,98630,0.7908344317144885,
Belconnen,Assault,2017,Q4,81,98630,0.8212511406265842,
Belconnen,Assault,2018,Q1,73,99762,0.7317415448768068,
Belconnen,Assault,2018,Q2,70,99762,0.7016699745394038,
Belconnen,Assault,2018,Q3,84,99762,0.8420039694472845,
Belconnen,Assault,2018,Q4,103,99762,1.032457248250837,
Belconnen,Assault,2019,Q1,88,100966,0.8715805320602976,
Belconnen,Assault,2019,Q2,62,100966,0.6140681021333915,
Belconnen,Assault,2019,Q3,88,100966,0.8715805320602976,
Belconnen,Assault,2019,Q4,63,100966,0.6239724263613494,
Belconnen,Assault,2020,Q1,79,101562,0.777849983261456,
Belconnen,Assault,2020,Q2,98,101562,0.964927827336996,
Belconnen,Assault,2020,Q3,76,101562,0.7483113763021603,
Belconnen,Assault,2020,Q4,90,101562,0.886158208778874,
Belconnen,Assault,2021,Q1,84,102131,0.8224730982757439,
Belconnen,Assault,2021,Q2,96,102131,0.9399692551722788,
Belconnen,Assault,2021,Q3,63,102131,0.6168548237068079,
Belconnen,Assault,2021,Q4,81,102131,0.7930990590516102,
Belconnen,Assault,2022,Q1,76,102929,0.7383730532697296,
Belconnen,Assault,2022,Q2,74,102929,0.718942183446842,
Belconnen,Assault,2022,Q3,122,102929,1.185283059196145,
Belconnen,Assault,2022,Q4,100,102929,0.9715434911443812,
Belconnen,Assault,2023,Q1,95,104235,0.9114021202091428,
Belconnen,Assault,2023,Q2,87,104235,0.8346524679810045,
Belconnen,Assault,2023,Q3,95,104235,0.9114021202091428,
Belconnen,Assault,2023,Q4,87,104235,0.8346524679810045,
Belconnen,Assault,2024,Q1,87,104459,0.8328626542471208,
Belconnen,Assault,2024,Q2,87,104459,0.8328626542471208,
Belconnen,Assault,2024,Q3,105,104459,1.0051790654706632,
Belconnen,Assault,2024,Q4,88,104459,0.8424357882039843,
Belconnen,Assault,2025,Q1,79,104929,0.7528900494620172,
Belconnen,Assault,2025,Q2,82,104929,0.7814808108339925,
Belconnen,Burglary,2014,Q1,121,97058,1.246677244534196,
Belconnen,Burglary,2014,Q2,102,97058,1.050918007789157,
Belconnen,Burglary,2014,Q3,124,97058,1.2775865977044654,
Belconnen,Burglary,2014,Q4,174,97058,1.7927424838756207,
Belconnen,Burglary,2015,Q1,113,96906,1.166078467793532,
Belconnen,Burglary,2015,Q2,136,96906,1.4034218727426575,
Belconnen,Burglary,2015,Q3,120,96906,1.2383134171258745,
Belconnen,Burglary,2015,Q4,142,96906,1.4653375435989515,
Belconnen,Burglary,2016,Q1,99,97106,1.0195044590447553,
Belconnen,Burglary,2016,Q2,95,97106,0.9783123596894115,
Belconnen,Burglary,2016,Q3,101,97106,1.040100508722427,
Belconnen,Burglary,2016,Q4,82,97106,0.8444380367845448,
Belconnen,Burglary,2017,Q1,178,98630,1.804724728784345,
Belconnen,Burglary,2017,Q2,135,98630,1.368751901044307,
Belconnen,Burglary,2017,Q3,125,98630,1.2673628713373213,
Belconnen,Burglary,2017,Q4,135,98630,1.368751901044307,
Belconnen,Burglary,2018,Q1,129,99762,1.29307752450833,
Belconnen,Burglary,2018,Q2,108,99762,1.0825765321465086,
Belconnen,Burglary,2018,Q3,148,99762,1.4835308033118824,
Belconnen,Burglary,2018,Q4,137,99762,1.3732683787414046,
Belconnen,Burglary,2019,Q1,181,100966,1.7926826852603848,
Belconnen,Burglary,2019,Q2,161,100966,1.5945962007012262,
Belconnen,Burglary,2019,Q3,125,100966,1.2380405284947409,
Belconnen,Burglary,2019,Q4,129,100966,1.2776578254065727,
Belconnen,Burglary,2020,Q1,112,101562,1.1027746598137098,
Belconnen,Burglary,2020,Q2,83,101562,0.8172347925405171,
Belconnen,Burglary,2020,Q3,102,101562,1.0043126366160573,
Belconnen,Burglary,2020,Q4,100,101562,0.9846202319765268,
Belconnen,Burglary,2021,Q1,111,102131,1.0868394512929471,
Belconnen,Burglary,2021,Q2,115,102131,1.1260048369251257,
Belconnen,Burglary,2021,Q3,86,102131,0.842055791091833,
Belconnen,Burglary,2021,Q4,95,102131,0.930177908764234,
Belconnen,Burglary,2022,Q1,105,102929,1.0201206657016002,
Belconnen,Burglary,2022,Q2,116,102929,1.126990449727482,
Belconnen,Burglary,2022,Q3,86,102929,0.8355274023841677,
Belconnen,Burglary,2022,Q4,107,102929,1.0395515355244878,
Belconnen,Burglary,2023,Q1,127,104235,1.2184007291216965,
Belconnen,Burglary,2023,Q2,105,104235,1.0073391854943157,
Belconnen,Burglary,2023,Q3,102,104235,0.9785580659087638,
Belconnen,Burglary,2023,Q4,86,104235,0.8250587614524871,
Belconnen,Burglary,2024,Q1,90,104459,0.8615820561177112,
Belconnen,Burglary,2024,Q2,64,104459,0.6126805732392613,
Belconnen,Burglary,2024,Q3,60,104459,0.5743880374118074,
Belconnen,Burglary,2024,Q4,84,104459,0.8041432523765305,
Belconnen,Burglary,2025,Q1,99,104929,0.943495125275186,
Belconnen,Burglary,2025,Q2,96,104929,0.9149043639032108,
Belconnen,CINs,2014,Q1,7,97058,0.0721218240639617,
Belconnen,CINs,2014,Q2,5,97058,0.0515155886171155,
Belconnen,CINs,2014,Q3,3,97058,0.0309093531702693,
Belconnen,CINs,2014,Q4,4,97058,0.0412124708936924,
Belconnen,CINs,2015,Q1,5,96906,0.0515963923802447,
Belconnen,CINs,2015,Q2,6,96906,0.0619156708562937,
Belconnen,CINs,2015,Q3,2,96906,0.0206385569520979,
Belconnen,CINs,2015,Q4,3,96906,0.0309578354281468,
Belconnen,CINs,2016,Q1,7,97106,0.0720861738718513,
Belconnen,CINs,2016,Q2,4,97106,0.0411920993553436,
Belconnen,CINs,2016,Q3,4,97106,0.0411920993553436,
Belconnen,CINs,2016,Q4,6,97106,0.0617881490330154,
Belconnen,CINs,2017,Q1,2,98630,0.0202778059413971,
Belconnen,CINs,2017,Q2,0,98630,0.0,
Belconnen,CINs,2017,Q3,0,98630,0.0,
Belconnen,CINs,2017,Q4,1,98630,0.0101389029706985,
Belconnen,CINs,2018,Q1,1,99762,0.0100238567791343,
Belconnen,CINs,2018,Q2,1,99762,0.0100238567791343,
Belconnen,CINs,2018,Q3,2,99762,0.0200477135582686,
Belconnen,CINs,2018,Q4,0,99762,0.0,
Belconnen,CINs,2019,Q1,0,100966,0.0,
Belconnen,CINs,2019,Q2,0,100966,0.0,
Belconnen,CINs,2019,Q3,0,100966,0.0,
Belconnen,CINs,2019,Q4,2,100966,0.0198086484559158,
Belconnen,CINs,2020,Q1,0,101562,0.0,
Belconnen,CINs,2020,Q2,0,101562,0.0,
Belconnen,CINs,2020,Q3,0,101562,0.0,
Belconnen,CINs,2020,Q4,0,101562,0.0,
Belconnen,CINs,2021,Q1,0,102131,0.0,
Belconnen,CINs,2021,Q2,0,102131,0.0,
Belconnen,CINs,2021,Q3,17,102131,0.1664528889367577,
Belconnen,CINs,2021,Q4,4,102131,0.0391653856321782,
Belconnen,CINs,2022,Q1,1,102929,0.0097154349114438,
Belconnen,CINs,2022,Q2,0,102929,0.0,
Belconnen,CINs,2022,Q3,0,102929,0.0,
Belconnen,CINs,2022,Q4,2,102929,0.0194308698228876,
Belconnen,CINs,2023,Q1,0,104235,0.0,
Belconnen,CINs,2023,Q2,0,104235,0.0,
Belconnen,CINs,2023,Q3,0,104235,0.0,
Belconnen,CINs,2023,Q4,0,104235,0.0,
Belconnen,CINs,2024,Q1,0,104459,0.0,
Belconnen,CINs,2024,Q2,0,104459,0.0,
Belconnen,CINs,2024,Q3,0,104459,0.0,
Belconnen,CINs,2024,Q4,0,104459,0.0,
Belconnen,CINs,2025,Q1,1,104929,0.0095302537906584,
Belconnen,CINs,2025,Q2,1,104929,0.0095302537906584,
