Region,Year,Population
Belconnen,2014,97058
Belconnen,2015,96906
Belconnen,2016,97252
Belconnen,2017,99532
Belconnen,2018,101785
Belconnen,2019,103291
Belconnen,2020,104107
Belconnen,2021,104872
Belconnen,2022,105773
Belconnen,2023,107121
Belconnen,2024,107367
Belconnen,2025,107842
Gungahlin,2014,63410
Gungahlin,2015,67959
Gungahlin,2016,71582
Gungahlin,2017,74291
Gungahlin,2018,75663
Gungahlin,2019,76492
Gungahlin,2020,77063
Gungahlin,2021,77021
Gungahlin,2022,77403
Gungahlin,2023,77779
Gungahlin,2024,77823
Gungahlin,2025,78089
Inner North,2014,52833
Inner North,2015,53534
Inner North,2016,54531
Inner North,2017,56377
Inner North,2018,57895
Inner North,2019,59464
Inner North,2020,60845
Inner North,2021,61455
Inner North,2022,63742
Inner North,2023,65920
Inner North,2024,67309
Inner North,2025,68221
Inner South,2014,26468
Inner South,2015,27010
Inner South,2016,27757
Inner South,2017,28992
Inner South,2018,29857
Inner South,2019,30576
Inner South,2020,31091
Inner South,2021,31498
Inner South,2022,32580
Inner South,2023,33702
Inner South,2024,34408
Inner South,2025,34815
Molonglo District,2014,1065
Molonglo District,2015,3098
Molonglo District,2016,4579
Molonglo District,2017,5789
Molonglo District,2018,6591
Molonglo District,2019,7233
Molonglo District,2020,7925
Molonglo District,2021,8643
Molonglo District,2022,9155
Molonglo District,2023,9780
Molonglo District,2024,10337
Molonglo District,2025,10916
Other,2014,388
Other,2015,410
Other,2016,434
Other,2017,425
Other,2018,415
Other,2019,407
Other,2020,400
Other,2021,394
Other,2022,394
Other,2023,394
Other,2024,394
Other,2025,394
Tuggeranong,2014,87163
Tuggeranong,2015,86340
Tuggeranong,2016,85890
Tuggeranong,2017,86305
Tuggeranong,2018,86846
Tuggeranong,2019,87450
Tuggeranong,2020,88274
Tuggeranong,2021,89004
Tuggeranong,2022,89541
Tuggeranong,2023,89957
Tuggeranong,2024,90057
Tuggeranong,2025,90149
Weston Creek,2014,23619
Weston Creek,2015,23338
Weston Creek,2016,23276
Weston Creek,2017,23456
Weston Creek,2018,23575
Weston Creek,2019,23876
Weston Creek,2020,24190
Weston Creek,2021,24487
Weston Creek,2022,24639
Weston Creek,2023,24860
Weston Creek,2024,24917
Weston Creek,2025,24998
Woden,2014,34967
Woden,2015,35112
Woden,2016,35388
Woden,2017,36287
Woden,2018,37093
Woden,2019,37711
Woden,2020,38688
Woden,2021,39079
Woden,2022,39587
Woden,2023,39924
Woden,2024,40857
Woden,2025,41600
