Region,Year,Total Description,Value
Belconnen,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),1464.4
Belconnen,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),100.0
Belconnen,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),137.0
Belconnen,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),1162.5
Belconnen,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),104.0
Belconnen,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),178.0
Belconnen,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1327.1
Belconnen,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",166.0
Belconnen,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),266.0
Belconnen,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),1667.6
Belconnen,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),328.0
Belconnen,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),457.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),127.1
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),70.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),31.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),9.0
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),2287.6
Belconnen,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),912.0
Belconnen,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),987.0
Belconnen,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",1395.2
Belconnen,2011,"Engagement in employment, education or training - Census : Not engaged (%)",489.8
Belconnen,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",496.1
Belconnen,2011,Labour force status - Census : % of total Census responding population employed,1624.1000000000001
Belconnen,2011,Labour force status - Census : % of total labour force employed,2088.4
Belconnen,2011,Labour force status - Census : % of total labour force unemployed,156.5
