Region,Suburb,Crime,Year,Quarter,Number,Rate
Belconnen,Aranda,Homicide,2014,Q1,0,0.0
Belconnen,Aranda,Family Violence,2014,Q1,0,0.0
Belconnen,Aranda,Assault,2014,Q1,0,0.0
Belconnen,Aranda,Sexual Assault,2014,Q1,0,0.0
Belconnen,Aranda,Property Damage,2014,Q1,0,0.0
Belconnen,Aranda,Other,2014,Q1,18,7.266855066612838
Belconnen,Aranda,CINs,2014,Q1,0,0.0
Belconnen,Aranda,Homicide,2014,Q2,0,0.0
Belconnen,Aranda,Family Violence,2014,Q2,0,0.0
Belconnen,Aranda,Assault,2014,Q2,1,0.40371417036737994
Belconnen,Aranda,Sexual Assault,2014,Q2,0,0.0
Belconnen,Aranda,Property Damage,2014,Q2,5,2.0185708518368997
Belconnen,Aranda,Other,2014,Q2,22,8.881711748082358
Belconnen,Aranda,CINs,2014,Q2,0,0.0
Belconnen,Aranda,Homicide,2014,Q3,0,0.0
Belconnen,Aranda,Family Violence,2014,Q3,0,0.0
Belconnen,Aranda,Assault,2014,Q3,3,1.2111425111021397
Belconnen,Aranda,Sexual Assault,2014,Q3,0,0.0
Belconnen,Aranda,Property Damage,2014,Q3,4,1.6148566814695198
Belconnen,Aranda,Other,2014,Q3,12,4.844570044408559
Belconnen,Aranda,CINs,2014,Q3,0,0.0
Belconnen,Aranda,Homicide,2014,Q4,0,0.0
Belconnen,Aranda,Family Violence,2014,Q4,1,0.40371417036737994
Belconnen,Aranda,Assault,2014,Q4,1,0.40371417036737994
Belconnen,Aranda,Sexual Assault,2014,Q4,1,0.40371417036737994
Belconnen,Aranda,Property Damage,2014,Q4,3,1.2111425111021397
Belconnen,Aranda,Other,2014,Q4,39,15.744852644327818
Belconnen,Aranda,CINs,2014,Q4,0,0.0
Belconnen,Aranda,Burglary,2014,Q1,1,0.40371417036737994
Belconnen,Aranda,Burglary,2014,Q2,0,0.0
Belconnen,Aranda,Burglary,2014,Q3,0,0.0
Belconnen,Aranda,Burglary,2014,Q4,5,2.0185708518368997
Belconnen,Aranda,Robbery,2014,Q1,0,0.0
Belconnen,Aranda,Robbery,2014,Q2,0,0.0
Belconnen,Aranda,Robbery,2014,Q3,0,0.0
Belconnen,Aranda,Robbery,2014,Q4,0,0.0
Belconnen,Aranda,Theft,2014,Q1,5,2.0185708518368997
Belconnen,Aranda,Theft,2014,Q2,2,0.8074283407347599
Belconnen,Aranda,Theft,2014,Q3,6,2.4222850222042793
Belconnen,Aranda,Theft,2014,Q4,9,3.633427533306419
Belconnen,Aranda,Other,2014,Q1,18,7.266855066612838
Belconnen,Aranda,Other,2014,Q2,22,8.881711748082358
Belconnen,Aranda,Other,2014,Q3,12,4.844570044408559
Belconnen,Aranda,Other,2014,Q4,39,15.744852644327818
Belconnen,Aranda,TINs,2014,Q1,113,45.61970125151393
Belconnen,Aranda,TINs,2014,Q2,122,49.25312878482035
Belconnen,Aranda,TINs,2014,Q3,142,57.32741219216795
Belconnen,Aranda,TINs,2014,Q4,119,48.04198627371821
Belconnen,Aranda,Homicide,2015,Q1,0,0.0
Belconnen,Aranda,Family Violence,2015,Q1,1,0.4065040650406504
Belconnen,Aranda,Assault,2015,Q1,1,0.4065040650406504
Belconnen,Aranda,Sexual Assault,2015,Q1,0,0.0
Belconnen,Aranda,Property Damage,2015,Q1,2,0.8130081300813008
Belconnen,Aranda,Other,2015,Q1,15,6.097560975609756
Belconnen,Aranda,CINs,2015,Q1,0,0.0
Belconnen,Aranda,Homicide,2015,Q2,0,0.0
Belconnen,Aranda,Family Violence,2015,Q2,0,0.0
Belconnen,Aranda,Assault,2015,Q2,0,0.0
Belconnen,Aranda,Sexual Assault,2015,Q2,0,0.0
Belconnen,Aranda,Property Damage,2015,Q2,8,3.252032520325203
Belconnen,Aranda,Other,2015,Q2,24,9.75609756097561
Belconnen,Aranda,CINs,2015,Q2,0,0.0
Belconnen,Aranda,Homicide,2015,Q3,0,0.0
Belconnen,Aranda,Family Violence,2015,Q3,0,0.0
Belconnen,Aranda,Assault,2015,Q3,1,0.4065040650406504
Belconnen,Aranda,Sexual Assault,2015,Q3,0,0.0
Belconnen,Aranda,Property Damage,2015,Q3,7,2.845528455284553
Belconnen,Aranda,Other,2015,Q3,15,6.097560975609756
Belconnen,Aranda,CINs,2015,Q3,0,0.0
Belconnen,Aranda,Homicide,2015,Q4,0,0.0
Belconnen,Aranda,Family Violence,2015,Q4,6,2.4390243902439024
Belconnen,Aranda,Assault,2015,Q4,2,0.8130081300813008
Belconnen,Aranda,Sexual Assault,2015,Q4,0,0.0
Belconnen,Aranda,Property Damage,2015,Q4,7,2.845528455284553
Belconnen,Aranda,Other,2015,Q4,13,5.284552845528455
Belconnen,Aranda,CINs,2015,Q4,0,0.0
Belconnen,Aranda,Burglary,2015,Q1,2,0.8130081300813008
Belconnen,Aranda,Burglary,2015,Q2,1,0.4065040650406504
Belconnen,Aranda,Burglary,2015,Q3,1,0.4065040650406504
Belconnen,Aranda,Burglary,2015,Q4,11,4.471544715447155
Belconnen,Aranda,Robbery,2015,Q1,0,0.0
Belconnen,Aranda,Robbery,2015,Q2,0,0.0
Belconnen,Aranda,Robbery,2015,Q3,0,0.0
Belconnen,Aranda,Robbery,2015,Q4,0,0.0
Belconnen,Aranda,Theft,2015,Q1,13,5.284552845528455
Belconnen,Aranda,Theft,2015,Q2,6,2.4390243902439024
Belconnen,Aranda,Theft,2015,Q3,8,3.252032520325203
Belconnen,Aranda,Theft,2015,Q4,20,8.130081300813009
Belconnen,Aranda,Other,2015,Q1,15,6.097560975609756
Belconnen,Aranda,Other,2015,Q2,24,9.75609756097561
Belconnen,Aranda,Other,2015,Q3,15,6.097560975609756
Belconnen,Aranda,Other,2015,Q4,13,5.284552845528455
Belconnen,Aranda,TINs,2015,Q1,93,37.80487804878049
Belconnen,Aranda,TINs,2015,Q2,63,25.609756097560975
Belconnen,Aranda,TINs,2015,Q3,88,35.77235772357724
Belconnen,Aranda,TINs,2015,Q4,96,39.02439024390244
Belconnen,Aranda,Homicide,2016,Q1,0,0.0
Belconnen,Aranda,Family Violence,2016,Q1,0,0.0
Belconnen,Aranda,Assault,2016,Q1,2,0.8173273395995095
Belconnen,Aranda,Sexual Assault,2016,Q1,0,0.0
Belconnen,Aranda,Property Damage,2016,Q1,3,1.2259910093992643
Belconnen,Aranda,Other,2016,Q1,19,7.764609726195341
Belconnen,Aranda,CINs,2016,Q1,0,0.0
Belconnen,Aranda,Homicide,2016,Q2,0,0.0
Belconnen,Aranda,Family Violence,2016,Q2,0,0.0
Belconnen,Aranda,Assault,2016,Q2,1,0.40866366979975477
Belconnen,Aranda,Sexual Assault,2016,Q2,0,0.0
Belconnen,Aranda,Property Damage,2016,Q2,2,0.8173273395995095
Belconnen,Aranda,Other,2016,Q2,17,6.947282386595831
Belconnen,Aranda,CINs,2016,Q2,0,0.0
Belconnen,Aranda,Homicide,2016,Q3,0,0.0
Belconnen,Aranda,Family Violence,2016,Q3,5,2.043318348998774
Belconnen,Aranda,Assault,2016,Q3,0,0.0
