Region,Suburb,Year,Population
Belconnen,Aranda,2014,2477
Belconnen,Belconnen,2014,6332
Belconnen,Bruce,2014,7010
Belconnen,Charnwood,2014,3074
Belconnen,Cook,2014,2949
Belconnen,Dunlop,2014,7273
Belconnen,Evatt,2014,5379
Belconnen,Florey,2014,5065
Belconnen,Flynn,2014,3531
Belconnen,Fraser,2014,2118
Belconnen,Giralang,2014,3351
Belconnen,Hawker,2014,2952
Belconnen,Higgins,2014,3128
Belconnen,Holt,2014,4734
Belconnen,Kaleen,2014,7448
Belconnen,Latham,2014,3656
Belconnen,Lawson,2014,0
Belconnen,Macgregor,2014,6530
Belconnen,Macquarie,2014,2753
Belconnen,McKellar,2014,2853
Belconnen,Melba,2014,3221
Belconnen,Page,2014,3010
Belconnen,Scullin,2014,2941
Belconnen,Spence,2014,2605
Belconnen,Weetangera,2014,2668
Inner North,Majura,2014,170
Gungahlin,Amaroo,2014,5674
Gungahlin,Bonner,2014,5751
Gungahlin,Casey,2014,4353
Gungahlin,Crace,2014,3083
Gungahlin,Forde,2014,3824
Gungahlin,Franklin,2014,5580
Gungahlin,Gungahlin,2014,6098
Gungahlin,Hall,2014,304
Gungahlin,Harrison,2014,6481
Gungahlin,Mitchell,2014,6
Gungahlin,Ngunnawal,2014,9561
Gungahlin,Nicholls,2014,6943
Gungahlin,Palmerston,2014,5739
Gungahlin,Kenny,2014,13
Inner North,Acton,2014,2049
Inner North,Ainslie,2014,5250
Inner North,Braddon,2014,5426
Inner North,Civic,2014,3825
Inner North,Dickson,2014,2228
Inner North,Downer,2014,3637
Inner North,Hackett,2014,2991
Inner North,Lyneham,2014,5046
Inner North,O'Connor,2014,5596
Inner North,Turner,2014,3987
Inner North,Watson,2014,5855
Inner North,Black Mountain,2014,0
Inner North,Campbell,2014,3302
Inner North,Duntroon,2014,1775
Inner North,Reid,2014,1696
Inner North,Russell,2014,0
Inner South,Deakin,2014,2882
Inner South,Forrest,2014,1652
Inner South,Griffith,2014,4292
Inner South,Narrabundah,2014,5854
Inner South,Red Hill,2014,3287
Inner South,Yarralumla,2014,2991
Inner South,Barton,2014,1419
Inner South,Fyshwick,2014,50
Inner South,Kingston,2014,4034
Tuggeranong,Banks,2014,5066
Tuggeranong,Bonython,2014,3915
Tuggeranong,Calwell,2014,5890
Tuggeranong,Chisholm,2014,5236
Tuggeranong,Conder,2014,5220
Tuggeranong,Fadden,2014,3037
Tuggeranong,Gilmore,2014,2829
Tuggeranong,Gordon,2014,7776
Tuggeranong,Gowrie,2014,3086
Tuggeranong,Greenway,2014,1816
Tuggeranong,Isabella Plains,2014,4410
Tuggeranong,Kambah,2014,15324
Tuggeranong,Macarthur,2014,1475
Tuggeranong,Monash,2014,5507
Tuggeranong,Oxley,2014,1756
Tuggeranong,Richardson,2014,3120
Tuggeranong,Theodore,2014,3937
Tuggeranong,Wanniassa,2014,7763
Weston Creek,Chapman,2014,2781
Weston Creek,Duffy,2014,3316
Weston Creek,Fisher,2014,3110
Weston Creek,Holder,2014,2737
Weston Creek,Rivett,2014,3215
Weston Creek,Stirling,2014,2183
Weston Creek,Waramanga,2014,2717
Weston Creek,Weston,2014,3560
Woden,Chifley,2014,2592
Woden,Curtin,2014,5352
Woden,Farrer,2014,3386
Woden,Garran,2014,3454
Woden,Hughes,2014,3065
Woden,Isaacs,2014,2414
Woden,Lyons,2014,3033
Woden,Mawson,2014,3230
Woden,O'Malley,2014,987
Woden,Pearce,2014,2620
Woden,Phillip,2014,2546
Woden,Torrens,2014,2288
Molonglo District,Coombs,2014,40
Molonglo District,Molonglo,2014,0
Molonglo District,Wright,2014,1025
Inner South,Parkes & Capital Hill,2014,7
Belconnen,Aranda,2015,2460
Belconnen,Belconnen,2015,6529
Belconnen,Bruce,2015,7071
Belconnen,Charnwood,2015,3039
Belconnen,Cook,2015,2919
Belconnen,Dunlop,2015,7258
Belconnen,Evatt,2015,5354
Belconnen,Florey,2015,4971
Belconnen,Flynn,2015,3467
Belconnen,Fraser,2015,2074
Belconnen,Giralang,2015,3348
Belconnen,Hawker,2015,2953
Belconnen,Higgins,2015,3107
Belconnen,Holt,2015,4645
Belconnen,Kaleen,2015,7399
Belconnen,Latham,2015,3634
Belconnen,Lawson,2015,0
Belconnen,Macgregor,2015,6701
Belconnen,Macquarie,2015,2755
Belconnen,McKellar,2015,2818
Belconnen,Melba,2015,3182
Belconnen,Page,2015,3040
Belconnen,Scullin,2015,2943
Belconnen,Spence,2015,2590
Belconnen,Weetangera,2015,2649
Inner North,Majura,2015,171
Gungahlin,Amaroo,2015,5687
Gungahlin,Bonner,2015,6223
Gungahlin,Casey,2015,5405
Gungahlin,Crace,2015,3962
Gungahlin,Forde,2015,4087
Gungahlin,Franklin,2015,6045
Gungahlin,Gungahlin,2015,6176
Gungahlin,Hall,2015,298
Gungahlin,Harrison,2015,7272
Gungahlin,Mitchell,2015,5
Gungahlin,Ngunnawal,2015,10176
Gungahlin,Nicholls,2015,6946
Gungahlin,Palmerston,2015,5666
Gungahlin,Kenny,2015,11
Inner North,Acton,2015,2100
Inner North,Ainslie,2015,5255
Inner North,Braddon,2015,5565
Inner North,Civic,2015,4039
Inner North,Dickson,2015,2245
Inner North,Downer,2015,3643
Inner North,Hackett,2015,2981
Inner North,Lyneham,2015,5155
Inner North,O'Connor,2015,5621
Inner North,Turner,2015,4067
Inner North,Watson,2015,5888
Inner North,Black Mountain,2015,0
Inner North,Campbell,2015,3299
Inner North,Duntroon,2015,1795
Inner North,Reid,2015,1710
Inner North,Russell,2015,0
Inner South,Deakin,2015,2903
Inner South,Forrest,2015,1676
Inner South,Griffith,2015,4467
Inner South,Narrabundah,2015,5918
Inner South,Red Hill,2015,3258
Inner South,Yarralumla,2015,2999
Inner South,Barton,2015,1456
Inner South,Fyshwick,2015,54
Inner South,Kingston,2015,4271
Tuggeranong,Banks,2015,5024
Tuggeranong,Bonython,2015,3891
Tuggeranong,Calwell,2015,5858
Tuggeranong,Chisholm,2015,5207
Tuggeranong,Conder,2015,5141
Tuggeranong,Fadden,2015,2993
Tuggeranong,Gilmore,2015,2798
Tuggeranong,Gordon,2015,7690
Tuggeranong,Gowrie,2015,3084
Tuggeranong,Greenway,2015,1865
Tuggeranong,Isabella Plains,2015,4411
Tuggeranong,Kambah,2015,15133
Tuggeranong,Macarthur,2015,1462
Tuggeranong,Monash,2015,5471
Tuggeranong,Oxley,2015,1734
Tuggeranong,Richardson,2015,3078
Tuggeranong,Theodore,2015,3870
Tuggeranong,Wanniassa,2015,7630
Weston Creek,Chapman,2015,2753
Weston Creek,Duffy,2015,3225
Weston Creek,Fisher,2015,3059
Weston Creek,Holder,2015,2679
Weston Creek,Rivett,2015,3179
Weston Creek,Stirling,2015,2157
Weston Creek,Waramanga,2015,2682
Weston Creek,Weston,2015,3604
Woden,Chifley,2015,2538
Woden,Curtin,2015,5330
Woden,Farrer,2015,3333
Woden,Garran,2015,3500
Woden,Hughes,2015,3048
Woden,Isaacs,2015,2398
Woden,Lyons,2015,3071
Woden,Mawson,2015,3263
Woden,O'Malley,2015,1009
Woden,Pearce,2015,2614
Woden,Phillip,2015,2766
Woden,Torrens,2015,2242
Molonglo District,Coombs,2015,1052
Molonglo District,Molonglo,2015,0
Molonglo District,Wright,2015,2046
Inner South,Parkes & Capital Hill,2015,8
Belconnen,Aranda,2016,2447
Belconnen,Belconnen,2016,6743
Belconnen,Bruce,2016,7147
Belconnen,Charnwood,2016,3004
Belconnen,Cook,2016,2902
Belconnen,Dunlop,2016,7253
Belconnen,Evatt,2016,5366
Belconnen,Florey,2016,4893
Belconnen,Flynn,2016,3413
Belconnen,Fraser,2016,2028
Belconnen,Giralang,2016,3354
Belconnen,Hawker,2016,2960
Belconnen,Higgins,2016,3090
Belconnen,Holt,2016,4612
Belconnen,Kaleen,2016,7369
Belconnen,Latham,2016,3649
Belconnen,Lawson,2016,146
Belconnen,Macgregor,2016,6875
Belconnen,Macquarie,2016,2763
Belconnen,McKellar,2016,2810
Belconnen,Melba,2016,3154
Belconnen,Page,2016,3084
Belconnen,Scullin,2016,2953
Belconnen,Spence,2016,2601
Belconnen,Weetangera,2016,2636
Inner North,Majura,2016,179
Gungahlin,Amaroo,2016,5726
Gungahlin,Bonner,2016,6832
Gungahlin,Casey,2016,5967
Gungahlin,Crace,2016,4561
Gungahlin,Forde,2016,4360
Gungahlin,Franklin,2016,6531
Gungahlin,Gungahlin,2016,6276
Gungahlin,Hall,2016,293
Gungahlin,Harrison,2016,7828
Gungahlin,Mitchell,2016,4
Gungahlin,Ngunnawal,2016,10590
Gungahlin,Nicholls,2016,6964
Gungahlin,Palmerston,2016,5641
Gungahlin,Kenny,2016,9
Inner North,Acton,2016,2126
Inner North,Ainslie,2016,5285
Inner North,Braddon,2016,5666
Inner North,Civic,2016,4386
Inner North,Dickson,2016,2263
Inner North,Downer,2016,3713
Inner North,Hackett,2016,3012
Inner North,Lyneham,2016,5299
Inner North,O'Connor,2016,5675
Inner North,Turner,2016,4144
Inner North,Watson,2016,5955
Inner North,Black Mountain,2016,0
Inner North,Campbell,2016,3312
Inner North,Duntroon,2016,1809
Inner North,Reid,2016,1704
Inner North,Russell,2016,3
Inner South,Deakin,2016,2941
Inner South,Forrest,2016,1713
Inner South,Griffith,2016,4661
Inner South,Narrabundah,2016,6038
Inner South,Red Hill,2016,3250
Inner South,Yarralumla,2016,3026
Inner South,Barton,2016,1491
Inner South,Fyshwick,2016,59
Inner South,Kingston,2016,4569
Tuggeranong,Banks,2016,4994
Tuggeranong,Bonython,2016,3850
Tuggeranong,Calwell,2016,5826
Tuggeranong,Chisholm,2016,5199
Tuggeranong,Conder,2016,5081
Tuggeranong,Fadden,2016,2967
Tuggeranong,Gilmore,2016,2780
Tuggeranong,Gordon,2016,7635
Tuggeranong,Gowrie,2016,3091
Tuggeranong,Greenway,2016,1937
Tuggeranong,Isabella Plains,2016,4412
Tuggeranong,Kambah,2016,15038
Tuggeranong,Macarthur,2016,1453
Tuggeranong,Monash,2016,5462
Tuggeranong,Oxley,2016,1722
Tuggeranong,Richardson,2016,3057
Tuggeranong,Theodore,2016,3823
Tuggeranong,Wanniassa,2016,7563
Weston Creek,Chapman,2016,2727
Weston Creek,Duffy,2016,3208
Weston Creek,Fisher,2016,3018
Weston Creek,Holder,2016,2643
Weston Creek,Rivett,2016,3212
Weston Creek,Stirling,2016,2158
Weston Creek,Waramanga,2016,2682
Weston Creek,Weston,2016,3628
Woden,Chifley,2016,2471
Woden,Curtin,2016,5325
Woden,Farrer,2016,3279
Woden,Garran,2016,3546
Woden,Hughes,2016,3018
Woden,Isaacs,2016,2393
Woden,Lyons,2016,3125
Woden,Mawson,2016,3309
Woden,O'Malley,2016,1040
Woden,Pearce,2016,2610
Woden,Phillip,2016,3059
Woden,Torrens,2016,2213
Molonglo District,Coombs,2016,1811
Molonglo District,Molonglo,2016,0
Molonglo District,Wright,2016,2768
Inner South,Parkes & Capital Hill,2016,9
Belconnen,Aranda,2017,2485
Belconnen,Belconnen,2017,7331
Belconnen,Bruce,2017,7415
Belconnen,Charnwood,2017,2989
Belconnen,Cook,2017,2902
Belconnen,Dunlop,2017,7275
Belconnen,Evatt,2017,5435
Belconnen,Florey,2017,4856
Belconnen,Flynn,2017,3416
Belconnen,Fraser,2017,2027
Belconnen,Giralang,2017,3351
Belconnen,Hawker,2017,2985
Belconnen,Higgins,2017,3110
Belconnen,Holt,2017,4717
Belconnen,Kaleen,2017,7494
Belconnen,Latham,2017,3667
Belconnen,Lawson,2017,902
Belconnen,Macgregor,2017,6989
Belconnen,Macquarie,2017,2832
Belconnen,McKellar,2017,2791
Belconnen,Melba,2017,3192
Belconnen,Page,2017,3121
Belconnen,Scullin,2017,2994
Belconnen,Spence,2017,2577
Belconnen,Weetangera,2017,2679
Inner North,Majura,2017,197
Gungahlin,Amaroo,2017,5816
Gungahlin,Bonner,2017,7101
Gungahlin,Casey,2017,6187
Gungahlin,Crace,2017,4817
Gungahlin,Forde,2017,4460
Gungahlin,Franklin,2017,7085
Gungahlin,Gungahlin,2017,6639
Gungahlin,Hall,2017,284
Gungahlin,Harrison,2017,8364
Gungahlin,Mitchell,2017,5
Gungahlin,Ngunnawal,2017,10972
Gungahlin,Nicholls,2017,6906
Gungahlin,Palmerston,2017,5644
Gungahlin,Kenny,2017,11
Inner North,Acton,2017,2266
Inner North,Ainslie,2017,5355
Inner North,Braddon,2017,5821
Inner North,Civic,2017,4851
Inner North,Dickson,2017,2409
Inner North,Downer,2017,3835
Inner North,Hackett,2017,3037
Inner North,Lyneham,2017,5462
Inner North,O'Connor,2017,5759
Inner North,Turner,2017,4190
Inner North,Watson,2017,6079
Inner North,Black Mountain,2017,0
Inner North,Campbell,2017,3526
Inner North,Duntroon,2017,1922
Inner North,Reid,2017,1665
Inner North,Russell,2017,3
Inner South,Deakin,2017,2989
Inner South,Forrest,2017,1716
Inner South,Griffith,2017,4840
Inner South,Narrabundah,2017,6156
Inner South,Red Hill,2017,3237
Inner South,Yarralumla,2017,3054
Inner South,Barton,2017,1576
Inner South,Fyshwick,2017,59
Inner South,Kingston,2017,5357
Tuggeranong,Banks,2017,4999
Tuggeranong,Bonython,2017,3849
Tuggeranong,Calwell,2017,5823
Tuggeranong,Chisholm,2017,5199
Tuggeranong,Conder,2017,5057
Tuggeranong,Fadden,2017,2957
Tuggeranong,Gilmore,2017,2766
Tuggeranong,Gordon,2017,7667
Tuggeranong,Gowrie,2017,3092
Tuggeranong,Greenway,2017,2239
Tuggeranong,Isabella Plains,2017,4389
Tuggeranong,Kambah,2017,15140
Tuggeranong,Macarthur,2017,1447
Tuggeranong,Monash,2017,5496
Tuggeranong,Oxley,2017,1712
Tuggeranong,Richardson,2017,3045
Tuggeranong,Theodore,2017,3809
Tuggeranong,Wanniassa,2017,7619
Weston Creek,Chapman,2017,2735
Weston Creek,Duffy,2017,3241
Weston Creek,Fisher,2017,3048
Weston Creek,Holder,2017,2666
Weston Creek,Rivett,2017,3218
Weston Creek,Stirling,2017,2162
Weston Creek,Waramanga,2017,2678
Weston Creek,Weston,2017,3708
Woden,Chifley,2017,2497
Woden,Curtin,2017,5373
Woden,Farrer,2017,3394
Woden,Garran,2017,3621
Woden,Hughes,2017,3064
Woden,Isaacs,2017,2402
Woden,Lyons,2017,3187
Woden,Mawson,2017,3348
Woden,O'Malley,2017,1028
Woden,Pearce,2017,2625
Woden,Phillip,2017,3503
Woden,Torrens,2017,2245
Molonglo District,Coombs,2017,2605
Molonglo District,Molonglo,2017,0
Molonglo District,Wright,2017,3184
Inner South,Parkes & Capital Hill,2017,8
Belconnen,Aranda,2018,2502
Belconnen,Belconnen,2018,7882
Belconnen,Bruce,2018,7653
Belconnen,Charnwood,2018,2959
Belconnen,Cook,2018,2888
Belconnen,Dunlop,2018,7243
Belconnen,Evatt,2018,5479
Belconnen,Florey,2018,4836
Belconnen,Flynn,2018,3427
Belconnen,Fraser,2018,2028
Belconnen,Giralang,2018,3342
Belconnen,Hawker,2018,3001
Belconnen,Higgins,2018,3127
Belconnen,Holt,2018,4847
Belconnen,Kaleen,2018,7501
Belconnen,Latham,2018,3671
Belconnen,Lawson,2018,2023
Belconnen,Macgregor,2018,7036
Belconnen,Macquarie,2018,2905
Belconnen,McKellar,2018,2768
Belconnen,Melba,2018,3226
Belconnen,Page,2018,3128
Belconnen,Scullin,2018,3057
Belconnen,Spence,2018,2561
Belconnen,Weetangera,2018,2695
Inner North,Majura,2018,219
Gungahlin,Amaroo,2018,5868
Gungahlin,Bonner,2018,7232
Gungahlin,Casey,2018,6268
Gungahlin,Crace,2018,4916
Gungahlin,Forde,2018,4501
Gungahlin,Franklin,2018,7341
Gungahlin,Gungahlin,2018,7063
Gungahlin,Hall,2018,296
Gungahlin,Harrison,2018,8576
Gungahlin,Mitchell,2018,6
Gungahlin,Ngunnawal,2018,11132
Gungahlin,Nicholls,2018,6828
Gungahlin,Palmerston,2018,5623
Gungahlin,Kenny,2018,13
Inner North,Acton,2018,2423
Inner North,Ainslie,2018,5424
Inner North,Braddon,2018,6012
Inner North,Civic,2018,4912
Inner North,Dickson,2018,2566
Inner North,Downer,2018,3951
Inner North,Hackett,2018,3115
Inner North,Lyneham,2018,5609
Inner North,O'Connor,2018,5846
Inner North,Turner,2018,4229
Inner North,Watson,2018,6193
Inner North,Black Mountain,2018,0
Inner North,Campbell,2018,3740
Inner North,Duntroon,2018,2018
Inner North,Reid,2018,1635
Inner North,Russell,2018,3
Inner South,Deakin,2018,3020
Inner South,Forrest,2018,1779
Inner South,Griffith,2018,5022
Inner South,Narrabundah,2018,6260
Inner South,Red Hill,2018,3190
Inner South,Yarralumla,2018,3075
Inner South,Barton,2018,1666
Inner South,Fyshwick,2018,58
Inner South,Kingston,2018,5779
Tuggeranong,Banks,2018,5002
Tuggeranong,Bonython,2018,3850
Tuggeranong,Calwell,2018,5827
Tuggeranong,Chisholm,2018,5193
Tuggeranong,Conder,2018,5031
Tuggeranong,Fadden,2018,2942
Tuggeranong,Gilmore,2018,2749
Tuggeranong,Gordon,2018,7691
Tuggeranong,Gowrie,2018,3085
Tuggeranong,Greenway,2018,2780
Tuggeranong,Isabella Plains,2018,4368
Tuggeranong,Kambah,2018,15204
Tuggeranong,Macarthur,2018,1435
Tuggeranong,Monash,2018,5517
Tuggeranong,Oxley,2018,1691
Tuggeranong,Richardson,2018,3034
Tuggeranong,Theodore,2018,3788
Tuggeranong,Wanniassa,2018,7659
Weston Creek,Chapman,2018,2740
Weston Creek,Duffy,2018,3244
Weston Creek,Fisher,2018,3076
Weston Creek,Holder,2018,2685
Weston Creek,Rivett,2018,3228
Weston Creek,Stirling,2018,2162
Weston Creek,Waramanga,2018,2644
Weston Creek,Weston,2018,3796
Woden,Chifley,2018,2524
Woden,Curtin,2018,5414
Woden,Farrer,2018,3493
Woden,Garran,2018,3691
Woden,Hughes,2018,3098
Woden,Isaacs,2018,2411
Woden,Lyons,2018,3243
Woden,Mawson,2018,3386
Woden,O'Malley,2018,1008
Woden,Pearce,2018,2626
Woden,Phillip,2018,3927
Woden,Torrens,2018,2272
Molonglo District,Coombs,2018,3180
Molonglo District,Molonglo,2018,0
Molonglo District,Wright,2018,3411
Inner South,Parkes & Capital Hill,2018,8
Belconnen,Aranda,2019,2544
Belconnen,Belconnen,2019,8306
Belconnen,Bruce,2019,7843
Belconnen,Charnwood,2019,3038
Belconnen,Cook,2019,2912
Belconnen,Dunlop,2019,7259
Belconnen,Evatt,2019,5487
Belconnen,Florey,2019,4798
Belconnen,Flynn,2019,3505
Belconnen,Fraser,2019,2040
Belconnen,Giralang,2019,3309
Belconnen,Hawker,2019,2976
Belconnen,Higgins,2019,3180
Belconnen,Holt,2019,5117
Belconnen,Kaleen,2019,7542
Belconnen,Latham,2019,3638
Belconnen,Lawson,2019,2325
Belconnen,Macgregor,2019,7057
Belconnen,Macquarie,2019,2963
Belconnen,McKellar,2019,2763
Belconnen,Melba,2019,3259
Belconnen,Page,2019,3119
Belconnen,Scullin,2019,3014
Belconnen,Spence,2019,2573
Belconnen,Weetangera,2019,2724
Inner North,Majura,2019,235
Gungahlin,Amaroo,2019,5919
Gungahlin,Bonner,2019,7297
Gungahlin,Casey,2019,6385
Gungahlin,Crace,2019,4907
Gungahlin,Forde,2019,4504
Gungahlin,Franklin,2019,7462
Gungahlin,Gungahlin,2019,7595
Gungahlin,Hall,2019,275
Gungahlin,Harrison,2019,8619
Gungahlin,Mitchell,2019,6
Gungahlin,Ngunnawal,2019,11165
Gungahlin,Nicholls,2019,6731
Gungahlin,Palmerston,2019,5613
Gungahlin,Kenny,2019,14
Inner North,Acton,2019,2604
Inner North,Ainslie,2019,5423
Inner North,Braddon,2019,6039
Inner North,Civic,2019,4942
Inner North,Dickson,2019,2949
Inner North,Downer,2019,4101
Inner North,Hackett,2019,3150
Inner North,Lyneham,2019,5663
Inner North,O'Connor,2019,5980
Inner North,Turner,2019,4392
Inner North,Watson,2019,6313
Inner North,Black Mountain,2019,0
Inner North,Campbell,2019,4021
Inner North,Duntroon,2019,2068
Inner North,Reid,2019,1584
Inner North,Russell,2019,0
Inner South,Deakin,2019,3057
Inner South,Forrest,2019,1783
Inner South,Griffith,2019,5187
Inner South,Narrabundah,2019,6295
Inner South,Red Hill,2019,3208
Inner South,Yarralumla,2019,3090
Inner South,Barton,2019,1793
Inner South,Fyshwick,2019,58
Inner South,Kingston,2019,6101
Tuggeranong,Banks,2019,5030
Tuggeranong,Bonython,2019,3829
Tuggeranong,Calwell,2019,5763
Tuggeranong,Chisholm,2019,5206
Tuggeranong,Conder,2019,5006
Tuggeranong,Fadden,2019,2970
Tuggeranong,Gilmore,2019,2716
Tuggeranong,Gordon,2019,7692
Tuggeranong,Gowrie,2019,3085
Tuggeranong,Greenway,2019,3192
Tuggeranong,Isabella Plains,2019,4371
Tuggeranong,Kambah,2019,15421
Tuggeranong,Macarthur,2019,1411
Tuggeranong,Monash,2019,5532
Tuggeranong,Oxley,2019,1706
Tuggeranong,Richardson,2019,3040
Tuggeranong,Theodore,2019,3783
Tuggeranong,Wanniassa,2019,7697
Weston Creek,Chapman,2019,2791
Weston Creek,Duffy,2019,3274
Weston Creek,Fisher,2019,3110
Weston Creek,Holder,2019,2743
Weston Creek,Rivett,2019,3278
Weston Creek,Stirling,2019,2151
Weston Creek,Waramanga,2019,2668
Weston Creek,Weston,2019,3861
Woden,Chifley,2019,2576
Woden,Curtin,2019,5445
Woden,Farrer,2019,3584
Woden,Garran,2019,3688
Woden,Hughes,2019,3152
Woden,Isaacs,2019,2394
Woden,Lyons,2019,3272
Woden,Mawson,2019,3395
Woden,O'Malley,2019,987
Woden,Pearce,2019,2619
Woden,Phillip,2019,4292
Woden,Torrens,2019,2307
Molonglo District,Coombs,2019,3779
Molonglo District,Molonglo,2019,0
Molonglo District,Wright,2019,3454
Inner South,Parkes & Capital Hill,2019,4
Belconnen,Aranda,2020,2588
Belconnen,Belconnen,2020,8342
Belconnen,Bruce,2020,7703
Belconnen,Charnwood,2020,3002
Belconnen,Cook,2020,2913
Belconnen,Dunlop,2020,7241
Belconnen,Evatt,2020,5475
Belconnen,Florey,2020,4801
Belconnen,Flynn,2020,3554
Belconnen,Fraser,2020,2083
Belconnen,Giralang,2020,3336
Belconnen,Hawker,2020,3029
Belconnen,Higgins,2020,3237
Belconnen,Holt,2020,5354
Belconnen,Kaleen,2020,7613
Belconnen,Latham,2020,3687
Belconnen,Lawson,2020,2545
Belconnen,Macgregor,2020,7094
Belconnen,Macquarie,2020,3006
Belconnen,McKellar,2020,2768
Belconnen,Melba,2020,3308
Belconnen,Page,2020,3094
Belconnen,Scullin,2020,3033
Belconnen,Spence,2020,2553
Belconnen,Weetangera,2020,2748
Inner North,Majura,2020,271
Gungahlin,Amaroo,2020,5997
Gungahlin,Bonner,2020,7362
Gungahlin,Casey,2020,6447
Gungahlin,Crace,2020,4882
Gungahlin,Forde,2020,4489
Gungahlin,Franklin,2020,7529
Gungahlin,Gungahlin,2020,8101
Gungahlin,Hall,2020,304
Gungahlin,Harrison,2020,8538
Gungahlin,Mitchell,2020,7
Gungahlin,Ngunnawal,2020,11074
Gungahlin,Nicholls,2020,6706
Gungahlin,Palmerston,2020,5611
Gungahlin,Kenny,2020,16
Inner North,Acton,2020,2737
Inner North,Ainslie,2020,5332
Inner North,Braddon,2020,6331
Inner North,Civic,2020,5079
Inner North,Dickson,2020,3167
Inner North,Downer,2020,4165
Inner North,Hackett,2020,3197
Inner North,Lyneham,2020,5677
Inner North,O'Connor,2020,5974
Inner North,Turner,2020,4460
Inner North,Watson,2020,6467
Inner North,Black Mountain,2020,0
Inner North,Campbell,2020,4362
Inner North,Duntroon,2020,2059
Inner North,Reid,2020,1567
Inner North,Russell,2020,0
Inner South,Deakin,2020,3074
Inner South,Forrest,2020,1804
Inner South,Griffith,2020,5325
Inner South,Narrabundah,2020,6430
Inner South,Red Hill,2020,3193
Inner South,Yarralumla,2020,3101
Inner South,Barton,2020,1860
Inner South,Fyshwick,2020,58
Inner South,Kingston,2020,6242
Tuggeranong,Banks,2020,5017
Tuggeranong,Bonython,2020,3859
Tuggeranong,Calwell,2020,5734
Tuggeranong,Chisholm,2020,5205
Tuggeranong,Conder,2020,5065
Tuggeranong,Fadden,2020,2986
Tuggeranong,Gilmore,2020,2715
Tuggeranong,Gordon,2020,7809
Tuggeranong,Gowrie,2020,3107
Tuggeranong,Greenway,2020,3605
Tuggeranong,Isabella Plains,2020,4340
Tuggeranong,Kambah,2020,15605
Tuggeranong,Macarthur,2020,1413
Tuggeranong,Monash,2020,5566
Tuggeranong,Oxley,2020,1685
Tuggeranong,Richardson,2020,3062
Tuggeranong,Theodore,2020,3740
Tuggeranong,Wanniassa,2020,7761
Weston Creek,Chapman,2020,2848
Weston Creek,Duffy,2020,3322
Weston Creek,Fisher,2020,3119
Weston Creek,Holder,2020,2781
Weston Creek,Rivett,2020,3305
Weston Creek,Stirling,2020,2166
Weston Creek,Waramanga,2020,2721
Weston Creek,Weston,2020,3928
Woden,Chifley,2020,2639
Woden,Curtin,2020,5513
Woden,Farrer,2020,3682
Woden,Garran,2020,3778
Woden,Hughes,2020,3177
Woden,Isaacs,2020,2366
Woden,Lyons,2020,3279
Woden,Mawson,2020,3490
Woden,O'Malley,2020,960
Woden,Pearce,2020,2707
Woden,Phillip,2020,4750
Woden,Torrens,2020,2347
Molonglo District,Coombs,2020,4302
Molonglo District,Molonglo,2020,0
Molonglo District,Wright,2020,3623
Inner South,Parkes & Capital Hill,2020,4
Belconnen,Aranda,2021,2583
Belconnen,Belconnen,2021,8545
Belconnen,Bruce,2021,7543
Belconnen,Charnwood,2021,3042
Belconnen,Cook,2021,2938
Belconnen,Dunlop,2021,7246
Belconnen,Evatt,2021,5494
Belconnen,Florey,2021,4766
Belconnen,Flynn,2021,3640
Belconnen,Fraser,2021,2114
Belconnen,Giralang,2021,3352
Belconnen,Hawker,2021,2994
Belconnen,Higgins,2021,3298
Belconnen,Holt,2021,5599
Belconnen,Kaleen,2021,7638
Belconnen,Latham,2021,3742
Belconnen,Lawson,2021,2741
Belconnen,Macgregor,2021,7022
Belconnen,Macquarie,2021,3086
Belconnen,McKellar,2021,2713
Belconnen,Melba,2021,3364
Belconnen,Page,2021,3024
Belconnen,Scullin,2021,3050
Belconnen,Spence,2021,2561
Belconnen,Weetangera,2021,2777
Inner North,Majura,2021,295
Gungahlin,Amaroo,2021,6108
Gungahlin,Bonner,2021,7351
Gungahlin,Casey,2021,6468
Gungahlin,Crace,2021,4775
Gungahlin,Forde,2021,4420
Gungahlin,Franklin,2021,7513
Gungahlin,Gungahlin,2021,8607
Gungahlin,Hall,2021,299
Gungahlin,Harrison,2021,8273
Gungahlin,Mitchell,2021,8
Gungahlin,Ngunnawal,2021,10985
Gungahlin,Nicholls,2021,6647
Gungahlin,Palmerston,2021,5549
Gungahlin,Kenny,2021,18
Inner North,Acton,2021,2861
Inner North,Ainslie,2021,5348
Inner North,Braddon,2021,6425
Inner North,Civic,2021,4900
Inner North,Dickson,2021,3285
Inner North,Downer,2021,4286
Inner North,Hackett,2021,3213
Inner North,Lyneham,2021,5677
Inner North,O'Connor,2021,5903
Inner North,Turner,2021,4467
Inner North,Watson,2021,6707
Inner North,Black Mountain,2021,0
Inner North,Campbell,2021,4570
Inner North,Duntroon,2021,1985
