Total Description,Year,Number,Population,Rate,COVID
Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,316.0,366055,0.8632582535411345,Pre
Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,468.0,400106,1.1696900321414825,Pre
Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,698.0,433318,1.6108262292358038,During
Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,510.0,366055,1.3932332572974007,Pre
Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,638.0,400106,1.5945774369792005,Pre
Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,894.0,433318,2.063149926843565,During
Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,354.0,366055,0.9670677903593722,Pre
Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,581.0,400106,1.4521151894747892,Pre
Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,904.0,433318,2.0862276665174306,During
Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,718.0,366055,1.9614538798814385,Pre
Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,887.0,400106,2.2169125181826814,Pre
Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,1352.0,433318,3.1201104039066,During
"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,728.0,366055,1.9887721790441326,Pre
"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,934.0,400106,2.334381388931933,Pre
"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,1252.0,433318,2.889333007167946,During
Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,1081.0,366055,2.9531081394872354,Pre
Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2016,1285.0,400106,3.211648913038045,Pre
Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2021,1721.0,433318,3.9716789978722327,During
Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2011,1490.0,366055,4.0704265752414255,Pre
Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2016,1984.0,400106,4.958685948223721,Pre
Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2021,2856.0,433318,6.591002450855954,During
Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2011,2105.0,366055,5.750501973747115,Pre
