Region,Total Description,Year,Number,Population,Rate,Covid
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,100.0,95645,1.0455329604265775,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,136.0,97106,1.400531378081684,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,168.0,102131,1.6449461965514878,During
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,137.0,95645,1.4323801557844111,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,171.0,97106,1.760962247440941,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,223.0,102131,2.183470248993939,During
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,104.0,95645,1.0873542788436406,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,151.0,97106,1.5550017506642226,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,257.0,102131,2.5163760268674547,During
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,178.0,95645,1.861048669559308,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,240.0,97106,2.471525961320619,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,357.0,102131,3.4955106676719114,During
Belconnen,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,166.0,95645,1.7355847143081187,Pre
Belconnen,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,203.0,97106,2.09049904228369,Pre
Belconnen,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,300.0,102131,2.9374039224133712,During
Belconnen,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,266.0,95645,2.781117674734696,Pre
