Suburb,Total Description,Year,Number,Region,Population,Rate,COVID
Aranda,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
Aranda,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,0.0,Belconnen,2447,0.0,Pre
Aranda,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,0.0,Belconnen,2583,0.0,During
Aranda,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
Aranda,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,0.0,Belconnen,2447,0.0,Pre
Aranda,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,3.0,Belconnen,2583,1.1614401858304297,During
Aranda,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,5.0,Belconnen,2554,1.957713390759593,Pre
Aranda,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,4.0,Belconnen,2447,1.634654679199019,Pre
Aranda,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,3.0,Belconnen,2583,1.1614401858304297,During
Aranda,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
Aranda,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,4.0,Belconnen,2447,1.634654679199019,Pre
Aranda,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,6.0,Belconnen,2583,2.3228803716608595,During
Aranda,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,0.0,Belconnen,2554,0.0,Pre
Aranda,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,0.0,Belconnen,2447,0.0,Pre
Aranda,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,4.0,Belconnen,2583,1.5485869144405728,During
Aranda,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
Aranda,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2016,0.0,Belconnen,2447,0.0,Pre
Aranda,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2021,8.0,Belconnen,2583,3.0971738288811457,During
Aranda,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2011,5.0,Belconnen,2554,1.957713390759593,Pre
Aranda,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2016,10.0,Belconnen,2447,4.086636697997548,Pre
Aranda,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2021,5.0,Belconnen,2583,1.9357336430507162,During
Aranda,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2011,5.0,Belconnen,2554,1.957713390759593,Pre
Aranda,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2016,8.0,Belconnen,2447,3.269309358398038,Pre
Aranda,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2021,11.0,Belconnen,2583,4.258614014711576,During
Aranda,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2011,0.0,Belconnen,2554,0.0,Pre
